Date,Valor
1992-01-01,16.53
1992-02-01,14.09
1992-03-01,12.83
1992-04-01,10.37
1992-05-01,9.52
1992-06-01,7.69
1992-07-01,6.41
1992-08-01,5.49
1992-09-01,5.95
1992-10-01,5.48
1992-11-01,5.76
1992-12-01,6.52
1993-01-01,6.95
1993-02-01,6.76
1993-03-01,7.27
1993-04-01,8.3
1993-05-01,8.79
1993-06-01,10.33
1993-07-01,13.22
1993-08-01,14.06
1993-09-01,13.34
1993-10-01,13.52
1993-11-01,13.37
1993-12-01,13.02
1994-01-01,13.98
1994-02-01,16.31
1994-03-01,16.67
1994-04-01,17.57
1994-05-01,21.16
1994-06-01,21.83
1994-07-01,21.48
1994-08-01,22.71
1994-09-01,24.22
1994-10-01,25.49
1994-11-01,28.16
1994-12-01,28.91
1995-01-01,30.78
1995-02-01,33.23
1995-03-01,33.76
1995-04-01,33.48
1995-05-01,30.77
1995-06-01,29.33
1995-07-01,27.61
1995-08-01,26.6
1995-09-01,28.37
1995-10-01,28.54
1995-11-01,26.39
1995-12-01,26.79
1996-01-01,23.88
1996-02-01,21.39
1996-03-01,21.55
1996-04-01,20.97
1996-05-01,21.28
1996-06-01,23.21
1996-07-01,24.36
1996-08-01,26.15
1996-09-01,25.71
1996-10-01,25.23
1996-11-01,25.97
1996-12-01,25.32
1997-01-01,27.29
1997-02-01,26.84
1997-03-01,25.86
1997-04-01,24.03
1997-05-01,23.04
1997-06-01,21.54
1997-07-01,20.48
1997-08-01,18.67
1997-09-01,17.06
1997-10-01,15.05
1997-11-01,13.67
1997-12-01,12.77
1998-01-01,11.39
1998-02-01,11.4
1998-03-01,12.42
1998-04-01,13.71
1998-05-01,13.63
1998-06-01,14.16
1998-07-01,14.81
1998-08-01,13.58
1998-09-01,13.55
1998-10-01,14.49
1998-11-01,15.06
1998-12-01,15.65
1999-01-01,16.66
1999-02-01,14.82
1999-03-01,13.25
1999-04-01,11.7
1999-05-01,11.25
1999-06-01,10.64
1999-07-01,9.33
1999-08-01,10.06
1999-09-01,10.53
1999-10-01,10.92
1999-11-01,10.59
1999-12-01,10.94
2000-01-01,9.61
2000-02-01,10.32
2000-03-01,11.03
2000-04-01,12.02
2000-05-01,12.2
2000-06-01,12.02
2000-07-01,11.89
2000-08-01,11.48
2000-09-01,10.91
2000-10-01,10.52
2000-11-01,10.64
2000-12-01,10.1
2001-01-01,10.55
2001-02-01,10.29
2001-03-01,10.19
2001-04-01,9.49
2001-05-01,9.78
2001-06-01,9.41
2001-07-01,9.25
2001-08-01,9.49
2001-09-01,10.12
2001-10-01,9.7
2001-11-01,9.04
2001-12-01,8.81
2002-01-01,8.19
2002-02-01,8
2002-03-01,7.67
2002-04-01,7.79
2002-05-01,7.01
2002-06-01,7.57
2002-07-01,7.87
2002-08-01,7.82
2002-09-01,7.17
2002-10-01,7.58
